asset_id,file_name,drop_folder_absolute,drop_folder_relative,required_size,file_type,color_mode,transparent_background,ui_location,description,required,notes
menu_off_source_svg,awakebar-off.svg,/Users/dshakiba/sleepcomputer/Design/icons,Design/icons,18x18 canvas (vector),SVG,Monochrome,Yes,Menu bar status icon (Off),Coffee/cup mark for normal sleep mode,Yes,Designer delivers this source SVG; run ./Scripts/build-icons.sh after dropping it
menu_open_source_svg,awakebar-open.svg,/Users/dshakiba/sleepcomputer/Design/icons,Design/icons,18x18 canvas (vector),SVG,Monochrome,Yes,Menu bar status icon (Open-Lid Active),Coffee/cup with active energy cue,Yes,Designer delivers this source SVG; run ./Scripts/build-icons.sh after dropping it
menu_closed_source_svg,awakebar-closed.svg,/Users/dshakiba/sleepcomputer/Design/icons,Design/icons,18x18 canvas (vector),SVG,Monochrome,Yes,Menu bar status icon (Closed-Lid Active),Coffee/cup with lock cue,Yes,Designer delivers this source SVG; run ./Scripts/build-icons.sh after dropping it
menu_off_generated_pdf,AwakeBarStatusOff.pdf,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AwakeBarStatusOff.imageset,AwakeBar/Assets.xcassets/AwakeBarStatusOff.imageset,Vector PDF from source SVG,PDF,Monochrome template,Yes,Compiled asset used by app,Generated from awakebar-off.svg,Yes,Do not hand-edit; generated by script
menu_open_generated_pdf,AwakeBarStatusOpen.pdf,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AwakeBarStatusOpen.imageset,AwakeBar/Assets.xcassets/AwakeBarStatusOpen.imageset,Vector PDF from source SVG,PDF,Monochrome template,Yes,Compiled asset used by app,Generated from awakebar-open.svg,Yes,Do not hand-edit; generated by script
menu_closed_generated_pdf,AwakeBarStatusClosed.pdf,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AwakeBarStatusClosed.imageset,AwakeBar/Assets.xcassets/AwakeBarStatusClosed.imageset,Vector PDF from source SVG,PDF,Monochrome template,Yes,Compiled asset used by app,Generated from awakebar-closed.svg,Yes,Do not hand-edit; generated by script
app_icon_16_1x,AppIcon-16.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,16x16 px,PNG,Full color allowed,Yes,macOS app icon slot,App icon small size,Yes,Keep same visual motif as larger sizes
app_icon_16_2x,AppIcon-16@2x.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,32x32 px,PNG,Full color allowed,Yes,macOS app icon slot,Retina equivalent for 16pt,Yes,Pixel-perfect at small size
app_icon_32_1x,AppIcon-32.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,32x32 px,PNG,Full color allowed,Yes,macOS app icon slot,App icon medium-small size,Yes,
app_icon_32_2x,AppIcon-32@2x.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,64x64 px,PNG,Full color allowed,Yes,macOS app icon slot,Retina equivalent for 32pt,Yes,
app_icon_128_1x,AppIcon-128.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,128x128 px,PNG,Full color allowed,Yes,macOS app icon slot,App icon medium size,Yes,
app_icon_128_2x,AppIcon-128@2x.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,256x256 px,PNG,Full color allowed,Yes,macOS app icon slot,Retina equivalent for 128pt,Yes,
app_icon_256_1x,AppIcon-256.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,256x256 px,PNG,Full color allowed,Yes,macOS app icon slot,App icon large size,Yes,
app_icon_256_2x,AppIcon-256@2x.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,512x512 px,PNG,Full color allowed,Yes,macOS app icon slot,Retina equivalent for 256pt,Yes,
app_icon_512_1x,AppIcon-512.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,512x512 px,PNG,Full color allowed,Yes,macOS app icon slot,App icon extra-large size,Yes,
app_icon_512_2x,AppIcon-512@2x.png,/Users/dshakiba/sleepcomputer/AwakeBar/Assets.xcassets/AppIcon.appiconset,AwakeBar/Assets.xcassets/AppIcon.appiconset,1024x1024 px,PNG,Full color allowed,Yes,macOS app icon slot,Retina equivalent for 512pt,Yes,This is the master high-resolution deliverable
